Width,Height,Type,Merging Num,Avg Intensity of Defect,Angle of Min Box,Area of Defect,Area of Min Box,Border Pixel,Compactness,AR (Aspect Ratio) of Box,AR of Min Box,Rectangularity,Dispersion,Label
32,13,1,0,68.1159,-90,207,372,75,0.0368,2.4615,2.5833,0.5565,16.908,1
25,17,1,0,90.2053,-71.565,151,287.0999,63,0.038,1.4706,2.6364,0.5259,50.8989,0
4,6,1,0,50.3333,-90,15,15,14,0.0765,1.5,1.6667,1,7.017,0
7,17,1,0,46.9853,-79.6952,68,85.44,33,0.0624,2.4286,2.9667,0.7959,6.6434,1
3,3,1,0,39.3333,-63.435,6,4,6,0.1667,1,1.25,1.5,1.9664,1
26,37,1,0,68.1449,-40.9144,352,776.396,107,0.0307,1.4231,1.0808,0.4534,16.5784,0
17,9,1,0,58.396,-7.5946,101,123.6681,39,0.0664,1.8889,2.0339,0.8167,22.9661,1
17,23,1,0,73.2819,-81.8699,188,302.68,61,0.0505,1.3529,1.7128,0.6211,31.833,1
4,5,1,0,41,-18.4349,13,10.5,11,0.1074,1.25,2.1429,1.2381,4.6007,0
16,26,1,0,62.0632,-61.1892,95,286.2803,67,0.0212,1.625,2.678,0.3318,41.4446,1
23,25,1,1,55.9786,-60.2551,140,362.4614,61,0.0376,1.087,2.6105,0.3862,20.2809,1
7,5,1,0,36.3125,-26.5651,16,15,13,0.0947,1.4,3,1.0667,4.9223,1
6,5,1,0,50.3077,-59.0363,13,17,12,0.0903,1.2,2,0.7647,11.6432,0
5,2,1,0,33,-90,7,4,7,0.1429,2.5,4,1.75,5.1962,0
10,18,1,1,52.8649,-61.3895,37,89.0319,32,0.0361,1.8,4.1552,0.4156,12.5503,0
21,21,1,1,52.4603,-46.9749,63,221.943,45,0.0311,1,2.9162,0.2839,21.8099,0
11,9,1,0,40.6716,-36.8699,67,77.76,26,0.0991,1.2222,1.5,0.8616,13.1234,1
5,11,1,0,48.6486,-90,37,40,25,0.0592,2.2,2.5,0.925,7.6566,0
13,17,1,0,46.3659,-85.2364,123,180.6207,43,0.0665,1.3077,1.437,0.681,22.6699,1
